timestamp,TDS,turbidity,temperature,pH,status,cause,ph_dev,tds_temp_ratio,turbidity_x_ph,temp_sqr,tds_diff,temp_diff,ph_diff,tds_rollmean_3,ph_rollstd_3,anomaly_score,anomaly_raw,anomaly_status,maintenance_needed
2025-01-01 00:00:00,735.91,13.3,46.09,6.74,Warning,"TDS Warning, Turbidity Warning, Temp Warning",0.26,15.97,89.64,2124.29,0.0,0.0,0.0,682.39,0.0,-0.0,-1,Anomaly,0
2025-01-01 00:10:00,717.53,16.98,51.26,6.88,Warning,High Temp,0.12,14.0,116.82,2627.59,-18.38,5.17,0.14,682.39,0.0,-0.03,-1,Anomaly,1
2025-01-01 00:20:00,593.72,4.3,27.94,7.4,Safe,,0.4,21.25,31.82,780.64,-123.81,-23.32,0.52,682.39,0.35,0.01,1,Normal,1
2025-01-01 00:30:00,477.2,16.48,39.42,6.79,Warning,Turbidity Warning,0.21,12.11,111.9,1553.94,-116.52,11.48,-0.61,596.15,0.33,0.05,1,Normal,1
2025-01-01 00:40:00,392.8,11.23,35.66,6.28,Safe,Turbidity Warning,0.72,11.02,70.52,1271.64,-84.4,-3.76,-0.51,487.91,0.56,0.02,1,Normal,1
2025-01-01 00:50:00,345.37,8.79,34.67,6.68,Safe,,0.32,9.96,58.72,1202.01,-47.43,-0.99,0.4,405.12,0.27,0.14,1,Normal,0
2025-01-01 01:00:00,708.42,15.75,41.34,6.82,Warning,"TDS Warning, Turbidity Warning, Temp Warning",0.18,17.14,107.42,1709.0,363.05,6.67,0.14,482.2,0.28,0.01,1,Normal,1
2025-01-01 01:10:00,488.96,11.09,39.46,7.36,Safe,Turbidity Warning,0.36,12.39,81.62,1557.09,-219.46,-1.88,0.54,514.25,0.36,0.1,1,Normal,1
2025-01-01 01:20:00,491.71,8.91,26.06,7.27,Safe,,0.27,18.87,64.78,679.12,2.75,-13.4,-0.09,563.03,0.29,0.1,1,Normal,1
2025-01-01 01:30:00,840.07,19.69,54.3,6.41,Danger,High Temp,0.59,15.47,126.23,2948.88,348.36,28.24,-0.86,606.91,0.52,-0.09,-1,Anomaly,1
2025-01-01 01:40:00,620.96,7.31,39.3,7.12,Safe,TDS Warning,0.12,15.8,52.05,1544.49,-219.11,-15.0,0.71,650.91,0.46,0.06,1,Normal,1
